DATE,PRCP,SNOW,TMAX,TMIN
2017-09-08,0,0,74,54
2017-10-08,0,0,79,56
2017-11-08,0,0,77,58
2017-12-08,0.02,0,78,66
2017-13-08,0.39,0,77,60
2017-14-08,0,0,77,59
2017-15-08,0,0,71,60
2017-16-08,0,0,81,64
2017-17-08,0,0,82,61
2017-18-08,0.16,0,85,63
2017-19-08,0.24,0,81,65
2017-20-08,0.42,0,81,58
2017-21-08,0,0,79,61
2017-22-08,0,0,83,64
2017-23-08,0.23,0,87,64
2017-24-08,0,0,75,55
2017-25-08,0.04,0,72,58
2017-26-08,0,0,68,55
2017-27-08,0,0,71,54
2017-28-08,0,0,72,55
2017-29-08,0,0,71,56
2017-30-08,0,0,64,55
2017-31-08,0,0,75,58
2017-01-09,0.02,0,75,51
2017-02-09,0,0,62,47
2017-03-09,0.66,0,56,49
2017-04-09,0.07,0,65,55
2017-05-09,0,0,79,57
2017-06-09,0.85,0,71,58
2017-07-09,0.06,0,62,51
2017-08-09,0,0,65,50
2017-09-09,0.05,0,63,50
2017-10-09,0,0,63,44
2017-11-09,0,0,66,45
2017-12-09,0,0,69,45
2017-13-09,0.03,0,73,51
2017-14-09,0.03,0,73,60
2017-15-09,0.02,0,66,61
2017-16-09,0.02,0,78,61
2017-17-09,0,0,75,61
2017-18-09,0,0,82,62
2017-19-09,0,0,79,61
2017-20-09,0,0,76,55
2017-21-09,0,0,83,57
2017-22-09,0,0,82,59
2017-23-09,0,0,83,55
2017-24-09,0,0,86,57
2017-25-09,0,0,87,61
2017-26-09,0,0,88,64
2017-27-09,0,0,86,63
2017-28-09,0,0,87,59
2017-29-09,0,0,69,46
2017-30-09,0.06,0,67,47
2017-01-10,0,0,58,36
2017-02-10,0,0,65,38
2017-03-10,0,0,71,40
2017-04-10,0,0,72,46
2017-05-10,0,0,80,49
2017-06-10,0.16,0,74,63
2017-07-10,0,0,72,62
2017-08-10,0.26,0,81,64
2017-09-10,0.52,0,75,68
2017-10-10,0.22,0,75,64
2017-11-10,0,0,78,62
2017-12-10,1.25,0,63,59
2017-13-10,0,0,60,54
2017-14-10,0,0,59,54
2017-15-10,0,0,62,59
2017-16-10,0.07,0,78,48
2017-17-10,0,0,57,34
2017-18-10,0,0,60,36
2017-19-10,0,0,69,42
2017-20-10,0,0,70,44
2017-21-10,0,0,70,43
2017-22-10,0,0,69,44
2017-23-10,0,0,72,46
2017-24-10,0.39,0,67,54
2017-25-10,0,0,66,42
2017-26-10,0,0,48,42
2017-27-10,0,0,51,34
2017-28-10,0,0,61,36
2017-29-10,1.33,0,62,45
2017-30-10,2.12,0,47,38
2017-31-10,0,0,48,37
2017-01-11,0,0,45,31
2017-02-11,0.15,0,46,35
2017-03-11,0.02,0,60,46
2017-04-11,0.02,0,63,34
2017-05-11,0.03,0,53,35
2017-06-11,0.57,0,56,50
2017-07-11,0.02,0,59,34
2017-08-11,0.17,0,37,30
2017-09-11,0,0,44,29
2017-10-11,0,0,44,28
2017-11-11,0,0,30,15
2017-12-11,0,0,32,17
2017-13-11,0.01,0,43,26
2017-14-11,0,0,44,35
2017-15-11,0,0,41,28
2017-16-11,0.03,0,45,28
2017-17-11,0.01,0,47,34
2017-18-11,0,0,43,30
2017-19-11,1.07,0,48,35
2017-20-11,0.05,0.3,40,30
2017-21-11,0,0,43,29
2017-22-11,0,0,56,31
2017-23-11,0,0,42,30
2017-24-11,0,0,39,29
2017-25-11,0,0,51,28
2017-26-11,0.02,0,54,33
2017-27-11,0,0,39,32
2017-28-11,0,0,47,31
2017-29-11,0,0,55,32
2017-30-11,0,0,55,30
2017-01-12,0.03,0,48,31
2017-02-12,0,0,48,28
2017-03-12,0,0,44,28
2017-04-12,0,0,50,28
2017-05-12,0.02,0,48,29
2017-06-12,0.45,0,48,30
2017-07-12,0,0,41,29
2017-08-12,0,0,39,25
